stem,route,n_classes,class_total,record_gpw,loader_reconciles,T,T_sources,ratio,working_sample,hhi,mechanism,detail
syndicate_3010_2018,det:azure,4,48.1,48.2,True,84.691,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.568,True,0.521613409347297,RI-ACCEPT,"t7: 'Reinsurance acceptances' 36,470"
syndicate_3002_2021,llm:gemini-2.5-flash,4,14.843,25.973,False,26.0,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.571,False,,LLM,the model's own mix; loader reconciles=False
syndicate_3010_2016,det:azure,3,32.9,33.0,True,56.935,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.578,True,0.6167810718674069,RI-ACCEPT,"t5: 'Reinsurance acceptances' 23,947"
syndicate_3010_2024,det:azure,3,269.0,269.0,True,464.198,gemini-2.5-flash:gpw+gpt-5-mini:gpw,0.579,True,0.45004546648056276,RI-ACCEPT,"t12: 'Reinsurance acceptances' 195,179"
syndicate_1699_2024,det:azure_text_fallback,5,101.6,101.5,True,175.25,azure:t1+azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.58,True,0.5645563561866423,TEXT-NOT-PREMIUM,0/5 adopted amounts are rows of the models' premium table
syndicate_2999_2016,det:azure,7,624.6,624.7,True,1073.614,azure:t3+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.582,False,0.3155787108699591,RI-ACCEPT,"t10: 'Reinsurance acceptances' 447,985"
syndicate_1955_2014,det:azure_text_fallback,6,159.6,159.6,True,273.9,azure:t0+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.583,False,0.3227446049877439,TEXT-NOT-PREMIUM,0/6 adopted amounts are rows of the models' premium table
syndicate_33_2019,det:azure_text_fallback,5,1214.2,1214.2,True,2044.2,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.594,True,0.49802339484364316,TEXT-PARTIAL,5/5 adopted amounts are rows of the models' premium table
syndicate_2999_2017,det:azure,6,706.0,706.0,True,1169.175,azure:t2+azure:t3+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.604,False,0.3048391368199729,RI-ACCEPT,"t9: 'Reinsurance acceptances' 463,148"
syndicate_2999_2019,det:azure,7,744.1,744.1,True,1221.6,azure:t2+azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.609,True,0.29589490297968046,RI-ACCEPT,t8: 'Reinsurance acceptances' 477.5
syndicate_4242_2020,det:azure,8,159.9,159.9,True,261.278,azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.612,True,0.5651063818944233,RI-ACCEPT,"t7: 'Reinsurance Acceptances' 101,355"
syndicate_318_2014,det:azure,3,83.2,83.2,True,135.721,azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.613,False,0.836671261023194,RI-ACCEPT,"t5: 'Reinsurance acceptances' 52,542"
syndicate_2791_2021,llm:gemini-2.5-flash,7,226.312,226.312,True,366.51,azure:t21+gpt-5-mini:gpw,0.617,False,0.39949512426857564,LLM,the model's own mix; loader reconciles=True
