series,index,value
Raw market,382,0.020393
Raw market,383,0.02048
Raw market,384,0.021399
Raw market,385,0.021918
Raw market,386,0.022008
Raw market,387,0.022011
Raw market,388,0.022121
Raw market,389,0.022324
Raw market,390,0.022543
Raw market,391,0.022891
Raw market,392,0.023483
Raw market,393,0.023676
Raw market,394,0.02408
Raw market,395,0.024299
Raw market,396,0.024556
Raw market,397,0.024703
Raw market,398,0.024763
Raw market,399,0.024837
Raw market,400,0.024896
Raw market,401,0.025327
Raw market,402,0.025755
Raw market,403,0.025837
Raw market,404,0.026545
Raw market,405,0.027214
Raw market,406,0.027413
Raw market,407,0.027528
Raw market,408,0.028082
Raw market,409,0.028098
Raw market,410,0.028186
Raw market,411,0.028398
Raw market,412,0.028421
Raw market,413,0.029071
Raw market,414,0.029562
Raw market,415,0.029588
Raw market,416,0.029854
Raw market,417,0.030158
Raw market,418,0.030201
Raw market,419,0.03027
Raw market,420,0.030697
Raw market,421,0.030903
Raw market,422,0.031116
Raw market,423,0.031127
Raw market,424,0.031327
Raw market,425,0.031556
Raw market,426,0.031969
Raw market,427,0.032784
Raw market,428,0.032827
Raw market,429,0.033373
Raw market,430,0.033481
Raw market,431,0.03374
Raw market,432,0.033774
Raw market,433,0.033884
Raw market,434,0.034047
Raw market,435,0.034274
Raw market,436,0.03466
Raw market,437,0.035039
Raw market,438,0.035117
Raw market,439,0.035159
Raw market,440,0.035374
Raw market,441,0.035655
Raw market,442,0.03678
Raw market,443,0.037031
Raw market,444,0.037099
Raw market,445,0.037154
Raw market,446,0.037805
Raw market,447,0.037855
Raw market,448,0.03815
Raw market,449,0.038316
Raw market,450,0.03876
Raw market,451,0.039595
Raw market,452,0.03982
Raw market,453,0.0404
Raw market,454,0.040867
Raw market,455,0.040915
Raw market,456,0.040931
Raw market,457,0.040948
Raw market,458,0.040975
Raw market,459,0.041243
Raw market,460,0.041331
Raw market,461,0.04197
Raw market,462,0.042735
Raw market,463,0.043144
Raw market,464,0.043468
Raw market,465,0.04356
Raw market,466,0.04427
Raw market,467,0.044556
Raw market,468,0.044571
Raw market,469,0.044773
Raw market,470,0.044939
Raw market,471,0.045331
Raw market,472,0.046486
Raw market,473,0.046763
Raw market,474,0.046785
Raw market,475,0.046943
Raw market,476,0.047141
Raw market,477,0.047421
Raw market,478,0.047947
Raw market,479,0.048746
Raw market,480,0.049358
Raw market,481,0.049478
Raw market,482,0.049516
Raw market,483,0.049728
Raw market,484,0.051151
Raw market,485,0.051423
Raw market,486,0.051449
Raw market,487,0.051862
Raw market,488,0.051978
Raw market,489,0.052376
Raw market,490,0.052398
Raw market,491,0.052682
Raw market,492,0.052941
Raw market,493,0.053316
Raw market,494,0.053555
Raw market,495,0.05382
Raw market,496,0.05439
Raw market,497,0.054595
Raw market,498,0.054773
Raw market,499,0.05496
Raw market,500,0.055028
Raw market,501,0.0555
Raw market,502,0.055621
Raw market,503,0.056242
Raw market,504,0.056487
Raw market,505,0.056702
Raw market,506,0.056785
Raw market,507,0.057135
Raw market,508,0.057253
Raw market,509,0.05854
Raw market,510,0.058836
Raw market,511,0.059279
Raw market,512,0.059323
Raw market,513,0.059367
Raw market,514,0.059553
Raw market,515,0.059579
Raw market,516,0.059943
Raw market,517,0.060111
Raw market,518,0.060168
Raw market,519,0.060827
Raw market,520,0.060882
Raw market,521,0.061784
Raw market,522,0.06179
Raw market,523,0.061844
Raw market,524,0.061969
Raw market,525,0.062129
Raw market,526,0.062246
Raw market,527,0.063808
Raw market,528,0.064309
Raw market,529,0.064643
Raw market,530,0.064885
Raw market,531,0.065559
Raw market,532,0.06648
Raw market,533,0.066775
Raw market,534,0.067176
Raw market,535,0.067364
Raw market,536,0.067644
Raw market,537,0.068111
Raw market,538,0.068526
Raw market,539,0.069042
Raw market,540,0.06909
Raw market,541,0.070214
Raw market,542,0.070659
Raw market,543,0.071722
Raw market,544,0.072684
Raw market,545,0.072744
Raw market,546,0.072956
Raw market,547,0.07331
Raw market,548,0.073784
Raw market,549,0.073803
Raw market,550,0.074248
Raw market,551,0.074316
Raw market,552,0.074371
Raw market,553,0.075562
Raw market,554,0.075876
Raw market,555,0.07708
Raw market,556,0.077863
Raw market,557,0.078084
Raw market,558,0.078855
Raw market,559,0.07887
Raw market,560,0.079215
Raw market,561,0.079239
Raw market,562,0.080922
Raw market,563,0.081758
Raw market,564,0.08192
Raw market,565,0.082324
Raw market,566,0.082479
Raw market,567,0.082543
Raw market,568,0.082594
Raw market,569,0.082946
Raw market,570,0.083297
Raw market,571,0.083848
Raw market,572,0.084221
Raw market,573,0.084552
Raw market,574,0.084836
Raw market,575,0.087156
Raw market,576,0.08718
Raw market,577,0.088464
Raw market,578,0.088889
Raw market,579,0.089177
Raw market,580,0.089684
Raw market,581,0.089823
Raw market,582,0.090265
Raw market,583,0.090348
Raw market,584,0.091434
Raw market,585,0.092883
Raw market,586,0.0929
Raw market,587,0.093237
Raw market,588,0.095842
Raw market,589,0.096309
Raw market,590,0.09744
