donor_observation_id,S_raw,S_size_old,S_adj_old,S_size_new,S_adj_new
1897_2018,0.101335,0.056176,0.051444,0.060189,0.055724
1897_2019,0.070659,0.040744,0.037321,0.043654,0.040426
1910_2015,-0.082001,-0.034958,-0.03185,-0.03746,-0.034501
1910_2017,-0.029428,-0.017379,-0.016018,-0.018618,-0.017351
1910_2018,0.00593,0.004337,0.004025,0.004645,0.00436
1910_2019,0.011999,0.009617,0.008939,0.0103,0.009682
1910_2021,-0.066317,-0.050477,-0.045972,-0.054091,-0.049797
1910_2023,-0.013372,-0.013332,-0.012562,-0.014273,-0.013607
1910_2024,-0.101094,-0.082996,-0.075589,-0.088939,-0.081878
1919_2014,0.028421,0.023264,0.022253,0.024896,0.024105
1919_2015,-0.021796,-0.01829,-0.017315,-0.019579,-0.018756
1919_2016,-0.029041,-0.023263,-0.022661,-0.024881,-0.024547
1919_2017,-0.013143,-0.011312,-0.011066,-0.012097,-0.011986
1919_2018,0.059579,0.051342,0.050575,0.054892,0.054784
1919_2019,0.130947,0.114686,0.113261,0.122607,0.122685
1919_2020,0.047421,0.042658,0.042086,0.045605,0.045588
1919_2021,0.11468,0.103776,0.102516,0.110942,0.111046
1919_2022,0.0929,0.09034,0.089263,0.096578,0.09669
1919_2023,-0.03389,-0.033705,-0.033258,-0.036034,-0.036025
1919_2024,0.097923,0.098384,0.095337,0.105241,0.10327
1945_2014,-0.184719,-0.05175,-0.049211,-0.055388,-0.053305
1945_2015,-0.115227,-0.036057,-0.034757,-0.038576,-0.037649
1945_2016,-0.22214,-0.080219,-0.077237,-0.085826,-0.083663
1945_2017,0.151465,0.065603,0.064141,0.070156,0.069478
1945_2018,0.069253,0.035055,0.034192,0.037491,0.037037
1945_2019,0.037805,0.018126,0.017297,0.019398,0.018736
1945_2020,-0.373795,-0.176387,-0.172695,-0.18862,-0.187064
1945_2021,0.187612,0.10861,0.102752,0.116263,0.111301
1945_2022,-0.082706,-0.047757,-0.045557,-0.051109,-0.049348
1945_2023,-0.025247,-0.015534,-0.014933,-0.016621,-0.016176
1945_2024,-0.293766,-0.18793,-0.180288,-0.20109,-0.195289
1947_2020,-0.081159,-0.027836,-0.026001,-0.029808,-0.028165
1947_2021,-0.052772,-0.023804,-0.02223,-0.025491,-0.024079
1947_2022,-0.12401,-0.062234,-0.057723,-0.066656,-0.062526
1947_2023,0.025755,0.01535,0.014759,0.016423,0.015988
1947_2024,0.055621,0.032343,0.031372,0.034596,0.033982
1955_2015,-0.692326,-0.557006,-0.530579,-0.596134,-0.574725
1955_2018,0.024703,0.024182,0.023123,0.025877,0.025047
1955_2019,0.079239,0.080197,0.075783,0.085851,0.082089
1955_2020,0.013023,0.013136,0.012309,0.014066,0.013333
1955_2021,0.018801,0.018762,0.018286,0.020066,0.019807
1955_2022,0.072956,0.058773,0.05724,0.06286,0.062003
1955_2023,0.008069,0.008113,0.007905,0.008676,0.008563
1955_2024,-0.033201,-0.034615,-0.033459,-0.03703,-0.036243
1967_2014,0.151822,0.05973,0.058832,0.06386,0.063727
1967_2015,0.065559,0.029122,0.028619,0.031139,0.031
1967_2016,0.158503,0.078245,0.077282,0.083648,0.083712
1967_2018,0.126891,0.07758,0.076182,0.082953,0.082521
1967_2019,0.05439,0.033332,0.032533,0.035647,0.03524
1967_2020,0.229443,0.143068,0.139429,0.153013,0.15103
1967_2021,0.030903,0.024578,0.023954,0.026286,0.025947
1967_2023,-0.001702,-0.001418,-0.001377,-0.001516,-0.001492
1967_2024,0.011326,0.009584,0.009269,0.010253,0.01004
1969_2014,1.174316,0.486187,0.467754,0.520186,0.506674
1969_2015,-0.020266,-0.009227,-0.008849,-0.009873,-0.009585
1969_2017,0.041132,0.023971,0.023096,0.025646,0.025017
1969_2018,0.212282,0.151548,0.149069,0.162035,0.161472
1969_2019,0.070214,0.057084,0.05621,0.061032,0.060887
1969_2021,0.03982,0.034098,0.033589,0.036455,0.036384
1969_2022,0.040867,0.037226,0.036664,0.0398,0.039714
1969_2023,0.061969,0.05776,0.056762,0.061759,0.061484
1969_2024,0.119464,0.115497,0.112991,0.12351,0.122393
1971_2022,0.13733,0.076877,0.073679,0.082262,0.079809
1971_2023,0.059553,0.038929,0.037664,0.041644,0.040798
1971_2024,0.023991,0.017766,0.016267,0.019035,0.01762
1975_2020,0.28675,0.094885,0.08631,0.101682,0.093492
1975_2021,-0.116875,-0.051035,-0.046423,-0.054691,-0.050286
1975_2022,-0.489684,-0.212109,-0.192942,-0.227305,-0.208996
1988_2023,0.106391,0.035868,0.032905,0.038429,0.035643
1991_2015,1.015082,0.204947,0.194202,0.219378,0.21036
1991_2016,0.634074,0.204346,0.193381,0.218743,0.209471
1991_2017,-0.165048,-0.071198,-0.067521,-0.076209,-0.073139
1991_2018,-0.238488,-0.116424,-0.110179,-0.124626,-0.119346
1991_2019,-0.269206,-0.147601,-0.139872,-0.157993,-0.15151
1991_2020,-0.298539,-0.169542,-0.159693,-0.181512,-0.17298
1994_2024,0.167126,0.081234,0.076218,0.086979,0.08256
1996_2024,-0.719424,-0.025642,-0.02434,-0.027447,-0.026365
2001_2015,-0.013754,-0.01708,-0.016735,-0.018265,-0.018128
2001_2016,-0.043473,-0.05344,-0.052595,-0.057137,-0.056971
2001_2017,0.05382,0.070633,0.070643,0.07548,0.076521
2001_2018,0.060111,0.086044,0.084773,0.091993,0.091826
2001_2019,-0.001908,-0.002838,-0.002802,-0.003034,-0.003035
2001_2020,-0.003437,-0.005084,-0.004989,-0.005436,-0.005405
2001_2021,-0.020268,-0.029998,-0.029344,-0.032079,-0.031785
2001_2022,-0.084066,-0.121913,-0.119078,-0.130378,-0.128986
2001_2023,-0.001082,-0.001572,-0.001528,-0.001681,-0.001655
2001_2024,0.144579,0.181503,0.175564,0.194163,0.190172
2003_2015,0.232768,0.328929,0.317935,0.351881,0.344388
2003_2016,-0.042293,-0.062081,-0.060493,-0.066396,-0.065526
2003_2017,0.021962,0.031901,0.031096,0.034118,0.033683
2003_2019,0.033774,0.052927,0.052398,0.056578,0.056758
2003_2020,0.084836,0.133204,0.129327,0.142479,0.140088
2007_2015,-0.00172,-0.001932,-0.001863,-0.002067,-0.002018
2007_2016,0.052941,0.059382,0.057292,0.063529,0.062059
2007_2017,-0.015774,-0.018692,-0.018023,-0.019998,-0.019523
2007_2018,0.018931,0.023182,0.022264,0.024804,0.024117
2007_2019,0.008658,0.009187,0.008864,0.009828,0.009602
2008_2015,-0.026611,-0.019125,-0.017493,-0.020492,-0.018948
2008_2016,-0.039322,-0.028894,-0.026348,-0.030962,-0.02854
2008_2018,5e-06,4e-06,4e-06,4e-06,4e-06
2008_2019,0.010554,0.012395,0.011329,0.013281,0.012272
2008_2021,0.144012,0.167804,0.153199,0.179807,0.165946
2008_2023,0.066775,0.075586,0.070854,0.080933,0.076749
2010_2014,-0.094858,-0.067191,-0.062061,-0.071975,-0.067225
2010_2015,-0.955781,-0.422587,-0.397696,-0.452433,-0.430786
2010_2018,0.368203,0.286762,0.270771,0.306985,0.2933
2010_2019,0.273424,0.209088,0.192329,0.223999,0.208332
2010_2020,0.137057,0.102322,0.094326,0.109613,0.102174
2010_2021,0.049673,0.037787,0.035157,0.040469,0.038083
2010_2023,0.023855,0.02073,0.019165,0.022205,0.020759
2010_2024,0.07708,0.063185,0.058571,0.067676,0.063445
2012_2015,0.175601,0.081719,0.079667,0.087398,0.086295
2012_2016,0.04197,0.027058,0.026396,0.028937,0.028592
2012_2017,0.027214,0.018719,0.018257,0.02002,0.019776
2012_2019,-0.007905,-0.005739,-0.005589,-0.006138,-0.006054
2014_2015,-0.368688,-0.091438,-0.086341,-0.097886,-0.093525
2014_2016,-0.005633,-0.002103,-0.001997,-0.002251,-0.002163
2014_2017,-0.008462,-0.004622,-0.004568,-0.004941,-0.004948
2014_2018,0.089823,0.05603,0.053969,0.059946,0.058459
2014_2019,-7.8e-05,-5.4e-05,-5.1e-05,-5.7e-05,-5.6e-05
2015_2016,0.130439,0.073363,0.072118,0.078441,0.078119
2015_2017,0.060827,0.038375,0.037511,0.041039,0.040632
2015_2019,0.08718,0.065822,0.06369,0.070412,0.068989
2015_2020,-0.010265,-0.007307,-0.006924,-0.007822,-0.0075
2015_2021,0.082946,0.045483,0.043723,0.048665,0.047361
2015_2022,0.018505,0.011102,0.010669,0.011879,0.011556
2015_2023,0.084552,0.056115,0.053856,0.060044,0.058338
2015_2024,0.121637,0.085816,0.081972,0.091837,0.088793
2019_2022,-0.008154,-0.006583,-0.006053,-0.007053,-0.006557
2019_2023,-0.064651,-0.053991,-0.049593,-0.057843,-0.05372
2019_2024,-0.053598,-0.04528,-0.041591,-0.048511,-0.045051
2088_2015,0.266114,0.114085,0.109948,0.122056,0.119096
2088_2017,-0.255318,-0.128626,-0.121821,-0.137685,-0.131957
2088_2018,0.024556,0.014372,0.013834,0.015376,0.014985
2088_2019,0.046486,0.031683,0.03019,0.033909,0.032702
2121_2014,-0.008294,-0.005412,-0.005238,-0.00579,-0.005674
2121_2015,0.222249,0.141899,0.137481,0.15179,0.14892
2121_2016,-0.068101,-0.043334,-0.042313,-0.046344,-0.045834
2121_2017,-0.003926,-0.002693,-0.002647,-0.002879,-0.002867
2121_2018,0.084221,0.062359,0.061378,0.066672,0.066485
2121_2019,0.008992,0.007207,0.00706,0.007707,0.007648
2121_2020,0.089177,0.076021,0.074665,0.081285,0.080877
2121_2021,-0.013447,-0.01246,-0.012199,-0.013324,-0.013214
2121_2022,0.052526,0.051032,0.049962,0.054572,0.054119
2121_2023,0.025311,0.026833,0.026273,0.028694,0.028459
2121_2024,-0.008169,-0.008739,-0.008457,-0.009349,-0.00916
218_2015,0.019463,0.017454,0.016006,0.018701,0.017337
218_2016,0.099063,0.088618,0.084212,0.09485,0.091219
218_2017,-0.041564,-0.040016,-0.036607,-0.042876,-0.039653
218_2018,-0.120427,-0.11804,-0.107975,-0.126478,-0.116959
218_2019,-0.071733,-0.064826,-0.059268,-0.06946,-0.064199
218_2020,-0.034443,-0.030884,-0.028202,-0.033093,-0.030548
2232_2016,-0.051634,-0.02896,-0.02747,-0.030998,-0.029755
2232_2017,0.056487,0.036452,0.034809,0.03901,0.037706
2232_2018,0.004912,0.003881,0.00373,0.004153,0.004041
2232_2019,0.034274,0.02649,0.025328,0.028347,0.027435
2232_2020,0.139275,0.110064,0.106332,0.117746,0.11518
